      x_k 	   y(x_k) 	        P(x_k) 	 |y(x_k) - P(x_k)| 	        L(x_k) 	 |y(x_k) - L(x_k)| 	        MNRP(x_k) 	 |y(x_k) - MNRP(x_k)| 	
         0	       -15	            -15	              0	            -15	              0	            -15	    9.41469e-14	
  0.119048	  -14.1949	       -14.1949	    1.47929e-09	       -14.1949	    2.23687e-09	       -14.1949	    7.99361e-13	
  0.238095	  -13.4429	       -13.4429	    6.42791e-10	       -13.4429	    1.35987e-10	       -13.4429	    6.21725e-14	
  0.357143	   -12.726	        -12.726	              0	        -12.726	              0	        -12.726	    9.23706e-14	
   0.47619	  -11.9972	       -11.9972	    1.61092e-10	       -11.9972	    3.25102e-10	       -11.9972	    9.05942e-14	
  0.595238	  -11.1628	       -11.1628	    9.00471e-11	       -11.1628	    2.05205e-11	       -11.1628	    1.82965e-13	
  0.714286	  -10.0562	       -10.0562	    1.77636e-15	       -10.0562	              0	       -10.0562	    9.23706e-14	
  0.833333	  -8.38466	       -8.38466	    3.35572e-11	       -8.38466	    5.46461e-11	       -8.38466	    6.03961e-14	
  0.952381	  -5.61585	       -5.61585	    2.21263e-11	       -5.61585	    2.54019e-11	       -5.61585	    1.35891e-13	
   1.07143	 -0.742647	      -0.742647	    2.88658e-15	      -0.742647	              0	      -0.742647	    9.23706e-14	
   1.19048	   8.17204	        8.17204	    1.10187e-11	        8.17204	    1.88294e-13	        8.17204	    1.59872e-14	
   1.30952	   24.8214	        24.8214	    8.28848e-12	        24.8214	    3.94351e-12	        24.8214	    1.03029e-13	
   1.42857	   56.0692	        56.0692	    2.13163e-14	        56.0692	              0	        56.0692	    9.23706e-14	
   1.54762	   114.254	        114.254	    5.22959e-12	        114.254	    7.44649e-12	        114.254	              0	
   1.66667	   220.793	        220.793	    4.37694e-12	        220.793	    5.40012e-12	        220.793	    1.42109e-13	
   1.78571	   411.611	        411.611	    5.68434e-14	        411.611	              0	        411.611	    5.68434e-14	
   1.90476	   745.088	        745.088	    3.29692e-12	        745.088	    5.68434e-13	        745.088	    1.13687e-13	
   2.02381	   1313.38	        1313.38	    2.95586e-12	        1313.38	    2.72848e-12	        1313.38	              0	
   2.14286	   2258.15	        2258.15	              0	        2258.15	              0	        2258.15	    9.09495e-13	
    2.2619	   3792.08	        3792.08	    3.63798e-12	        3792.08	              0	        3792.08	    4.54747e-13	
   2.38095	   6227.64	        6227.64	    4.54747e-12	        6227.64	    9.09495e-13	        6227.64	    1.81899e-12	
       2.5	     10015	          10015	    1.81899e-12	          10015	              0	          10015	    3.63798e-12	
   2.61905	   15791.4	        15791.4	    3.63798e-12	        15791.4	              0	        15791.4	    1.81899e-12	
    2.7381	   24444.3	        24444.3	    3.63798e-12	        24444.3	    1.09139e-11	        24444.3	    7.27596e-12	
   2.85714	   37191.6	        37191.6	              0	        37191.6	              0	        37191.6	    7.27596e-12	
   2.97619	   55682.1	        55682.1	    1.45519e-11	        55682.1	    7.27596e-12	        55682.1	    7.27596e-12	
   3.09524	   82120.5	        82120.5	    4.36557e-11	        82120.5	    4.36557e-11	        82120.5	    1.45519e-11	
   3.21429	    119421	         119421	    2.91038e-11	         119421	              0	         119421	    1.45519e-11	
   3.33333	    171395	         171395	    2.91038e-11	         171395	    8.73115e-11	         171395	    2.91038e-11	
   3.45238	    242977	         242977	    5.82077e-11	         242977	    5.82077e-11	         242977	              0	
   3.57143	    340503	         340503	    1.74623e-10	         340503	              0	         340503	    5.82077e-11	
   3.69048	    472030	         472030	    1.16415e-10	         472030	    1.74623e-10	         472030	              0	
   3.80952	    647729	         647729	    1.16415e-10	         647729	    1.16415e-10	         647729	    1.16415e-10	
   3.92857	    880343	         880343	    1.16415e-10	         880343	              0	         880343	    2.32831e-10	
   4.04762	1.18572e+06	    1.18572e+06	    2.32831e-10	    1.18572e+06	              0	    1.18572e+06	    2.32831e-10	
   4.16667	1.58346e+06	    1.58346e+06	    2.32831e-10	    1.58346e+06	    6.98492e-10	    1.58346e+06	    2.32831e-10	
   4.28571	2.09762e+06	    2.09762e+06	              0	    2.09762e+06	              0	    2.09762e+06	    9.31323e-10	
   4.40476	2.75758e+06	    2.75758e+06	    1.39698e-09	    2.75758e+06	    1.39698e-09	    2.75758e+06	              0	
   4.52381	3.59902e+06	    3.59902e+06	    2.32831e-09	    3.59902e+06	    4.65661e-10	    3.59902e+06	              0	
   4.64286	4.66505e+06	    4.66505e+06	    2.79397e-09	    4.66505e+06	              0	    4.66505e+06	              0	
    4.7619	6.00746e+06	    6.00746e+06	    9.31323e-10	    6.00746e+06	    9.31323e-10	    6.00746e+06	    9.31323e-10	
   4.88095	7.68825e+06	    7.68825e+06	              0	    7.68825e+06	    9.31323e-10	    7.68825e+06	              0	
         5	9.78122e+06	    9.78122e+06	              0	    9.78122e+06	              0	    9.78122e+06	    1.86265e-09	
